scenario,planner,num_vehicles,seed,vehicle_id,success,plan_time_ms,path_length,nodes,start_error_m,goal_error_m,collision_free
road_open,rrt_star,5,2,1,1,422.6892000006046,166.24439569729432,1501,0.0,0.0,1
road_open,rrt_star,5,2,2,1,436.53740000445396,166.7056392158482,1501,0.0,0.0,1
road_open,rrt_star,5,2,3,1,430.164599994896,167.94087534287036,1501,0.0,0.0,1
road_open,rrt_star,5,2,4,1,421.6020999883767,166.79671717683348,1501,0.0,0.0,1
road_open,rrt_star,5,3,0,1,430.81779999192804,170.75226878970255,1501,0.0,0.0,1
road_open,rrt_star,5,3,1,1,429.62949999491684,170.88805497663694,1501,0.0,0.0,1
road_open,rrt_star,5,3,2,1,441.75100000575185,170.46562769836962,1501,0.0,0.0,1
road_open,rrt_star,5,3,3,1,433.00240000826307,172.22872906710953,1501,0.0,0.0,1
road_open,rrt_star,5,3,4,1,480.3674000140745,170.56987575935935,1501,0.0,0.0,1
road_open,rrt_star,5,4,0,1,449.37350001418963,169.87866356797457,1501,0.0,0.0,1
road_open,rrt_star,5,4,1,1,442.61259998893365,168.2828847403038,1501,0.0,0.0,1
road_open,rrt_star,5,4,2,1,459.4288000080269,167.85563331667146,1501,0.0,0.0,1
road_open,rrt_star,5,4,3,1,448.0549999861978,175.90070179228815,1501,0.0,0.0,1
road_open,rrt_star,5,4,4,1,466.3207000121474,167.96753516938105,1501,0.0,0.0,1
road_open,astar,20,0,0,1,0.3501999890431762,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,20,0,1,1,0.32789999386295676,234.298180800331,8,1.9999999999999998,0.0,1
road_open,astar,20,0,2,1,0.3347000165376812,233.67981675632547,8,1.9999999999999998,0.0,1
road_open,astar,20,0,3,1,0.31889998354017735,236.29122170444109,8,1.9999999999999998,0.0,1
road_open,astar,20,0,4,1,0.32699998700991273,233.8434788178314,8,1.9999999999999998,0.0,1
road_open,astar,20,0,5,1,0.3192999865859747,236.81250709095204,8,1.9999999999999998,0.0,1
road_open,astar,20,0,6,1,0.32149997423402965,234.70894286123075,8,1.1649961719442974,0.0,1
road_open,astar,20,0,7,1,0.315399985993281,233.55286155513286,8,0.2969804269081666,0.0,1
road_open,astar,20,0,8,1,0.31579998903907835,233.7953958419444,8,1.9999999999999998,0.0,1
road_open,astar,20,0,9,1,0.31590001890435815,232.17953627844346,8,1.9999999999999998,0.0,1
road_open,astar,20,0,10,1,0.31790000502951443,230.77397783876089,8,1.9999999999999998,0.0,1
road_open,astar,20,0,11,1,0.5409999866969883,230.91880733718867,8,1.9999999999999998,0.0,1
road_open,astar,20,0,12,1,0.533799990080297,235.0799651965789,8,0.6528053996583969,0.0,1
road_open,astar,20,0,13,1,0.516200001584366,234.05206891112533,8,1.9999999999999998,0.0,1
